net,length_um
net10,52.88µm
net3,51.07µm
net9,45.48µm
net8,44.32µm
net4,37.82µm
net11,30.96µm
net2,25.71µm
_00_,25.02µm
_24_,24.68µm
net5,24.59µm
_20_,23.02µm
clknet_1_0__leaf_clk,21.12µm
clknet_0_clk,20.92µm
_22_,20.6µm
_10_,20.58µm
clknet_1_1__leaf_clk,20.08µm
_18_,18.44µm
next_count\[3\],18.38µm
_32_,18.14µm
_19_,16.335µm
net1,16.16µm
net6,15.22µm
_04_,14.86µm
clk,14.39µm
_34_,13.44µm
net12,13.38µm
_21_,13.18µm
next_count\[2\],13.08µm
_07_,11.94µm
net7,11.64µm
_05_,10.54µm
clear,10.42µm
_35_,10µm
_06_,9.98µm
next_count\[1\],9.9µm
count[0],9.89µm
_02_,9.74µm
enable,9.43µm
_03_,9.03µm
_26_,8.94µm
_31_,8.82µm
nRST,8.81µm
_29_,8.24µm
_17_,8.02µm
_11_,8µm
count[2],7.79µm
_36_,7.62µm
next_flag,7.62µm
_33_,6.78µm
rollover[0],6.65µm
_25_,6.26µm
flag,6.21µm
count[3],5.99µm
_28_,5.54µm
_15_,5.26µm
rollover[1],4.95µm
_14_,4.76µm
_01_,4.46µm
count[1],4.27µm
_08_,4.22µm
net13,4.12µm
_09_,4µm
rollover[2],3.93µm
rollover[3],3.93µm
_23_,3.69µm
next_count\[0\],3.66µm
_16_,3.54µm
_27_,3.415µm
_12_,3.08µm
_30_,2.4µm
_13_,2.04µm
