Instance name, X location, Y location, Voltage
FILLER_0_10_15, 12.52, 40.8, 1.8
clkbuf_0_clk, 12.52, 35.36, 1.79992
FILLER_0_10_23, 12.52, 35.36, 1.79992
_65_, 12.52, 29.92, 1.79991
_68_, 12.52, 29.92, 1.79991
_70_, 12.52, 29.92, 1.79991
_81_, 12.52, 29.92, 1.79991
FILLER_0_8_23, 12.52, 29.92, 1.79991
_69_, 12.52, 24.48, 1.79993
_76_, 12.52, 24.48, 1.79993
FILLER_0_5_11, 12.52, 24.48, 1.79993
FILLER_0_5_19, 12.52, 24.48, 1.79993
FILLER_0_5_27, 12.52, 24.48, 1.79993
_39_, 12.52, 19.04, 1.79996
_40_, 12.52, 19.04, 1.79996
_46_, 12.52, 19.04, 1.79996
_47_, 12.52, 19.04, 1.79996
_74_, 12.52, 19.04, 1.79996
FILLER_0_3_25, 12.52, 19.04, 1.79996
_37_, 12.52, 13.6, 1.79998
_41_, 12.52, 13.6, 1.79998
_42_, 12.52, 13.6, 1.79998
_43_, 12.52, 13.6, 1.79998
FILLER_0_0_11, 12.52, 13.6, 1.79998
FILLER_0_0_19, 12.52, 13.6, 1.79998
FILLER_0_1_26, 12.52, 13.6, 1.79998
PHY_EDGE_ROW_10_Left_21, 5.52, 40.8, 1.8
PHY_EDGE_ROW_10_Right_10, 36.8, 40.8, 1.8
FILLER_0_10_57, 36.8, 40.8, 1.8
FILLER_0_10_29, 24.66, 40.8, 1.8
FILLER_0_10_37, 24.66, 40.8, 1.8
_82_, 5.52, 35.36, 1.79991
PHY_EDGE_ROW_8_Left_19, 5.52, 35.36, 1.79991
PHY_EDGE_ROW_9_Left_20, 5.52, 35.36, 1.79991
input3, 5.52, 35.36, 1.79991
FILLER_0_10_7, 5.52, 35.36, 1.79991
PHY_EDGE_ROW_8_Right_8, 36.8, 35.36, 1.79991
PHY_EDGE_ROW_9_Right_9, 36.8, 35.36, 1.79991
output12, 36.8, 35.36, 1.79991
_66_, 24.66, 35.36, 1.79991
_67_, 24.66, 35.36, 1.79991
input1, 24.66, 35.36, 1.79991
FILLER_0_9_45, 24.66, 35.36, 1.79991
FILLER_0_9_53, 24.66, 35.36, 1.79991
FILLER_0_10_48, 24.66, 35.36, 1.79991
PHY_EDGE_ROW_6_Left_17, 5.52, 29.92, 1.79988
PHY_EDGE_ROW_7_Left_18, 5.52, 29.92, 1.79988
output9, 5.52, 29.92, 1.79988
clkbuf_1_0__f_clk, 5.52, 29.92, 1.79988
PHY_EDGE_ROW_6_Right_6, 36.8, 29.92, 1.79989
PHY_EDGE_ROW_7_Right_7, 36.8, 29.92, 1.79989
FILLER_0_7_57, 36.8, 29.92, 1.79989
_56_, 24.66, 29.92, 1.79989
_59_, 24.66, 29.92, 1.79989
_61_, 24.66, 29.92, 1.79989
_62_, 24.66, 29.92, 1.79989
_63_, 24.66, 29.92, 1.79989
_64_, 24.66, 29.92, 1.79989
_78_, 24.66, 29.92, 1.79989
_79_, 24.66, 29.92, 1.79989
FILLER_0_7_53, 24.66, 29.92, 1.79989
_80_, 5.52, 24.48, 1.79992
PHY_EDGE_ROW_4_Left_15, 5.52, 24.48, 1.79992
PHY_EDGE_ROW_5_Left_16, 5.52, 24.48, 1.79992
output11, 5.52, 24.48, 1.79992
_72_, 36.8, 24.48, 1.79986
